id	region	population	sex	age	education	income	statusquo	vote
1	N	175000	M	65	P	35000	1.0082	Y
2	N	175000	M	29	PS	7500	-1.29617	N
3	N	175000	F	38	P	15000	1.23072	Y
4	N	175000	F	49	P	35000	-1.03163	N
5	N	175000	F	23	S	35000	-1.10496	N
6	N	175000	F	28	P	7500	-1.04685	N
7	N	175000	M	26	PS	35000	-0.78626	N
8	N	175000	F	24	S	15000	-1.11348	N
10	N	175000	M	41	P	15000	-1.29617	N
11	N	175000	M	64	P	15000	1.36566	Y
13	N	175000	F	27	PS	NA	1.43448	Y
14	N	175000	F	46	S	75000	1.50684	Y
17	N	175000	F	20	PS	15000	-0.85579	N
19	N	175000	M	67	P	75000	1.32279	Y
21	N	175000	F	38	S	35000	1.38534	Y
22	N	175000	F	55	PS	35000	1.45602	Y
23	N	175000	M	18	S	75000	1.54808	Y
24	N	175000	F	24	PS	35000	1.61471	Y
25	N	175000	M	58	P	35000	1.52601	Y
29	N	175000	M	20	PS	35000	-0.89281	N
31	N	175000	F	32	PS	35000	1.50986	Y
32	N	175000	F	37	PS	200000	0.96525	Y
34	N	175000	M	44	PS	35000	1.16851	N
35	N	175000	M	20	PS	15000	-1.29617	N
36	N	175000	F	36	P	35000	-0.35147	Y
37	N	175000	M	37	P	7500	1.43203	Y
39	N	175000	M	30	P	15000	0.11067	Y
42	N	125000	M	30	S	15000	-1.1517	N
43	N	125000	F	37	PS	35000	1.40361	Y
44	N	125000	M	51	P	15000	0.52166	Y
45	N	125000	F	61	P	35000	0.79952	Y
47	N	125000	F	70	P	15000	1.48894	Y
48	N	125000	M	35	S	35000	0.49674	Y
49	N	125000	M	68	P	35000	1.32695	Y
50	N	125000	F	25	P	35000	1.54808	Y
51	N	125000	F	50	P	7500	1.33168	Y
52	N	125000	F	24	S	35000	1.03408	Y
55	N	125000	M	40	S	15000	-1.04016	N
56	N	125000	M	34	PS	125000	-1.10088	N
58	N	125000	F	52	S	35000	1.24649	Y
59	N	125000	F	35	S	35000	1.59577	Y
60	N	125000	M	51	S	75000	1.34999	Y
61	N	125000	M	33	PS	75000	1.33168	Y
62	N	125000	F	36	S	15000	0.80845	Y
64	N	125000	F	43	P	15000	1.04409	Y
66	N	125000	F	28	P	35000	1.5877	Y
68	N	125000	M	19	S	7500	0.52845	N
69	N	125000	F	26	S	35000	1.45329	Y
71	N	125000	M	40	PS	35000	-0.52639	N
72	N	125000	M	19	PS	35000	-1.10706	N
73	N	125000	F	38	S	75000	1.06142	Y
74	N	125000	F	22	PS	35000	-1.30351	N
76	N	125000	F	32	S	NA	-0.85035	N
78	N	125000	M	38	PS	35000	-1.29617	N
79	N	125000	M	19	S	35000	-0.02965	N
80	N	125000	M	32	PS	75000	1.48284	Y
82	N	125000	M	54	P	35000	-1.1921	N
83	N	125000	M	48	P	35000	1.02326	Y
84	N	125000	F	30	S	75000	-0.99223	N
85	N	125000	M	23	PS	35000	-1.10784	Y
86	N	125000	F	46	S	125000	1.5877	Y
89	N	125000	M	23	S	15000	-1.12468	N
91	N	125000	F	44	S	35000	-1.14579	N
92	N	125000	M	65	P	35000	1.02326	Y
93	N	125000	F	24	P	7500	-1.18567	N
94	N	125000	F	19	S	35000	1.05618	Y
96	N	125000	F	53	P	75000	1.59943	Y
100	N	125000	M	57	S	35000	-0.66752	N
101	N	250000	F	50	P	15000	-0.97742	Y
102	N	250000	M	45	P	2500	0.71898	N
105	N	250000	F	18	S	125000	0.15214	N
106	N	250000	F	67	S	7500	-1.29617	N
107	N	250000	M	30	S	7500	-0.71641	N
108	N	250000	F	23	P	7500	-1.30366	N
109	N	250000	F	34	P	7500	-0.122	Y
110	N	250000	M	46	P	75000	-1.17441	N
114	N	250000	M	18	S	15000	-0.71653	N
115	N	250000	M	69	P	7500	1.54808	Y
116	N	250000	M	21	S	35000	-0.78334	N
120	N	250000	F	34	P	35000	1.43203	Y
121	N	250000	F	35	S	35000	-1.29617	N
122	N	250000	F	50	S	125000	1.5877	Y
123	N	250000	M	66	S	75000	1.25462	Y
124	N	250000	M	22	PS	125000	-0.42219	N
125	N	250000	F	54	S	75000	-0.12077	N
126	N	250000	F	22	PS	35000	-0.27527	N
127	N	250000	F	70	P	75000	1.39831	Y
129	N	250000	F	50	P	35000	-1.29617	N
130	N	250000	M	42	PS	75000	1.45861	Y
131	N	250000	M	33	S	7500	-1.29617	N
132	N	250000	M	52	P	35000	-1.03168	N
133	N	250000	F	55	S	15000	-1.29617	N
134	N	250000	F	50	P	35000	0.6853	Y
135	N	250000	F	24	P	7500	-1.2202	N
136	N	250000	F	26	PS	35000	-1.29617	N
137	N	250000	M	23	PS	35000	-1.01268	N
138	N	250000	F	55	S	35000	-0.38049	N
140	N	250000	M	38	PS	15000	-0.88584	N
141	N	250000	M	18	PS	75000	-1.21974	N
142	N	250000	M	36	S	35000	-0.40254	N
143	N	250000	F	18	S	NA	-1.22081	N
144	N	250000	F	36	S	7500	1.40604	Y
145	N	250000	F	65	PS	125000	-0.9981	N
146	N	250000	F	26	PS	75000	1.48284	Y
147	N	250000	F	55	S	75000	1.44104	Y
148	N	250000	F	59	S	35000	1.5877	Y
150	N	250000	M	70	P	7500	-0.36585	N
151	N	250000	F	24	PS	35000	1.27926	Y
152	N	250000	F	26	PS	75000	-1.10017	N
153	N	250000	F	44	PS	75000	1.44183	Y
154	N	250000	M	53	S	15000	-1.29617	N
155	N	250000	M	35	PS	125000	-0.72892	N
156	N	250000	F	26	PS	125000	1.4162	Y
157	N	250000	M	37	P	15000	0.41711	N
158	N	250000	F	70	PS	125000	1.44896	Y
159	N	250000	M	23	PS	35000	-1.25795	N
160	N	250000	F	18	S	35000	1.50986	Y
162	N	87500	F	30	P	15000	1.60783	Y
163	N	87500	F	46	P	7500	1.51786	Y
164	N	87500	M	22	P	15000	-0.51949	N
166	N	87500	F	42	P	15000	1.54808	Y
167	N	87500	F	25	S	15000	1.37129	Y
168	N	87500	M	42	P	15000	1.5877	Y
169	N	87500	M	32	PS	75000	1.36312	Y
170	N	87500	F	51	P	2500	1.59607	Y
171	N	87500	M	18	S	15000	-1.10367	N
172	N	87500	F	44	PS	35000	-0.71653	N
173	N	87500	M	40	S	15000	-1.03937	N
174	N	87500	F	33	S	2500	-1.14317	N
175	N	87500	F	21	S	35000	0.54901	Y
177	N	87500	F	37	S	7500	-0.6617	N
178	N	87500	F	58	P	7500	1.4527	Y
179	N	87500	M	37	S	75000	1.40361	Y
180	N	87500	M	18	P	35000	-0.12713	Y
181	N	45000	F	33	S	35000	0.9475	Y
183	N	45000	F	34	S	15000	1.43653	Y
184	N	45000	M	25	PS	35000	0.32764	Y
188	N	45000	F	53	P	15000	0.9948	Y
190	N	45000	F	31	PS	35000	0.98196	Y
191	N	45000	M	23	P	15000	0.37411	Y
192	N	45000	F	25	P	15000	1.33395	Y
193	N	45000	F	39	PS	15000	-0.59827	N
194	N	45000	F	25	P	15000	0.43403	Y
195	N	45000	M	48	P	7500	1.62138	Y
197	N	45000	F	25	P	15000	1.5877	Y
198	N	45000	M	18	S	15000	1.4156	Y
199	N	45000	F	49	P	NA	1.20211	Y
200	N	45000	F	66	P	2500	-1.29617	N
201	N	3750	M	60	P	75000	-0.38693	N
202	N	3750	M	37	PS	35000	-0.58756	N
204	N	3750	F	34	S	35000	0.02178	N
205	N	3750	M	28	S	15000	-0.66899	N
206	N	3750	M	59	P	35000	1.19563	Y
207	N	3750	M	21	P	15000	-0.04558	N
208	N	3750	F	27	S	2500	0.65137	Y
209	N	3750	F	53	NA	15000	0.57867	Y
210	N	3750	M	24	S	15000	-0.95939	N
211	N	3750	M	59	P	7500	1.41416	Y
212	N	3750	F	48	P	7500	1.21125	Y
213	N	3750	F	26	P	2500	1.50986	Y
214	N	3750	M	64	P	7500	0.98716	Y
215	N	3750	M	20	P	15000	1.05745	Y
216	N	3750	M	25	S	15000	0.34737	Y
217	N	3750	F	49	P	7500	0.15444	Y
218	N	3750	M	70	P	35000	-1.10356	N
219	N	3750	F	22	S	15000	1.05653	Y
220	N	3750	M	18	P	15000	0.0224	Y
222	N	125000	M	31	S	35000	-0.91124	Y
223	N	125000	F	48	PS	35000	-0.82983	Y
225	N	125000	F	23	S	15000	1.44853	Y
229	N	125000	F	28	S	35000	-1.07837	N
231	N	125000	F	27	S	7500	0.29045	Y
232	N	125000	M	38	S	15000	-0.89647	N
233	N	125000	M	34	PS	35000	-1.29617	N
234	N	125000	F	46	P	2500	-1.29617	N
235	N	125000	M	25	S	7500	-0.92377	N
236	N	125000	M	29	S	75000	-0.6018	Y
238	N	125000	F	34	P	7500	0.57019	Y
239	N	125000	M	66	P	7500	-0.18511	Y
240	N	125000	F	44	P	35000	1.51576	Y
242	N	125000	M	39	S	7500	0.75719	Y
243	N	125000	F	22	S	15000	-1.07861	N
244	N	125000	F	47	P	15000	1.43653	Y
245	N	125000	M	24	S	35000	0.00883	Y
246	N	125000	M	27	S	35000	1.34829	Y
247	N	125000	F	21	S	75000	-1.15231	N
248	N	125000	M	36	PS	75000	1.01364	Y
249	N	125000	F	62	P	15000	0.23772	Y
250	N	125000	M	24	PS	NA	-0.72038	N
252	N	125000	F	70	P	15000	1.25145	Y
255	N	125000	F	35	P	15000	-1.19054	N
256	N	125000	F	29	P	15000	1.23505	Y
257	N	125000	F	38	P	15000	1.24225	Y
258	N	125000	M	21	S	35000	-0.56293	N
259	N	125000	F	59	PS	35000	-1.18011	N
260	N	125000	M	59	P	15000	1.37738	Y
263	N	15000	M	24	PS	35000	-0.89647	N
267	N	15000	F	31	S	15000	0.29023	Y
268	N	15000	M	27	P	15000	-0.20566	N
269	N	15000	F	29	P	35000	0.96777	Y
270	N	15000	F	33	P	15000	0.82724	Y
271	N	15000	F	27	P	15000	1.07644	Y
275	N	15000	M	64	P	7500	-1.19662	N
276	N	15000	F	59	P	7500	-0.0725	N
277	N	15000	F	32	S	15000	-0.87318	Y
278	N	15000	M	26	S	75000	1.55477	Y
280	N	15000	M	39	P	15000	1.3766	Y
281	N	87500	F	29	PS	15000	-1.23032	N
282	N	87500	F	47	P	35000	1.22543	Y
283	N	87500	M	68	P	15000	1.40952	Y
285	N	87500	F	35	P	7500	-1.23032	Y
286	N	87500	F	29	P	7500	0.40561	Y
287	N	87500	M	58	P	15000	-1.29617	N
288	N	87500	M	70	P	15000	-0.13177	Y
289	N	87500	F	36	P	15000	-0.46162	N
290	N	87500	M	30	S	35000	-1.00254	N
291	N	87500	M	31	P	15000	-0.93686	Y
292	N	87500	M	31	P	7500	-0.89725	N
294	N	87500	M	37	S	15000	-1.29617	N
296	N	87500	M	20	S	NA	-0.18727	N
297	N	87500	F	52	P	15000	0.21063	N
299	N	87500	F	50	P	15000	0.51411	Y
303	N	25000	M	68	P	15000	1.37208	Y
304	N	25000	F	29	P	35000	1.01672	Y
305	N	25000	F	35	P	2500	0.05559	Y
306	N	25000	M	24	S	7500	0.77841	Y
307	N	25000	F	60	S	35000	1.46136	Y
308	N	25000	M	21	S	35000	-1.00054	N
309	N	25000	M	53	PS	35000	-1.29617	N
313	N	25000	F	26	S	7500	-1.03006	N
315	N	25000	M	43	S	35000	-1.29617	N
317	N	25000	F	23	P	15000	1.21184	Y
318	N	25000	M	26	S	15000	-1.1868	N
319	N	25000	F	58	P	35000	0.53257	N
320	N	25000	F	70	P	15000	1.33444	Y
322	C	25000	M	32	S	15000	-0.87595	N
323	C	25000	F	32	S	15000	0.73621	Y
