fips,state,county,county_name,poverty,uninsure,extendhshld,black,latinx,oldage,density,state_ab,population,c19deaths,c19cases,lifeexp,trump16,clinton16,totalvotes16,rep16vs,dem16vs,mask_never,mask_rarely,mask_sometimes,mask_frequently,mask_always,repgov
1001,1,1,"Autauga County, Alabama",12,7.1,5.4,19.9,2.8,8050,2.4,AL,55869,1563,78515,76.87947717,18172,5936,24973,0.727665879,0.237696712,0.053,0.074,0.134,0.295,0.444,1
1003,1,3,"Baldwin County, Alabama",7.3,10.2,7.2,9.8,4.5,40665,14.8,AL,223234,1858,197233,78.45025837,72883,18458,95215,0.765457123,0.19385601,0.083,0.059,0.098,0.323,0.436,1
1005,1,5,"Barbour County, Alabama",21.5,11.2,10.5,48.5,4.3,4634,0.5,AL,24686,331,45478,75.34193493,5454,4871,10469,0.520966663,0.465278441,0.067,0.121,0.12,0.201,0.491,1
1007,1,7,"Bibb County, Alabama",10.5,7.9,13.4,22.7,2.4,3661,1.6,AL,22394,257,28377,73.57182028,6738,1874,8819,0.764032203,0.212495748,0.02,0.034,0.096,0.278,0.572,1
1009,1,9,"Blount County, Alabama",10.2,11,9.6,1.9,9.1,10233,0.4,AL,57826,228,51081,74.1458259,22859,2156,25588,0.893348445,0.084258246,0.053,0.114,0.18,0.194,0.459,1
1011,1,11,"Bullock County, Alabama",31,10.8,8.2,76.2,0.5,1616,1.7,AL,10101,1025,38966,73.53089479,1140,3530,4710,0.242038217,0.749469214,0.031,0.04,0.144,0.286,0.5,1
1013,1,13,"Butler County, Alabama",18.9,10.2,11,46,0.3,3806,0.7,AL,19448,3039,69993,72.9183092,4901,3726,8732,0.561268896,0.426706367,0.102,0.053,0.257,0.137,0.451,1
1015,1,15,"Calhoun County, Alabama",14.6,9.4,7.7,21.8,3.7,19386,1.5,AL,113605,1016,98454,73.03910859,32865,13242,47864,0.68663296,0.276658867,0.152,0.108,0.13,0.167,0.442,1
1017,1,17,"Chambers County, Alabama",11.3,10.8,10.4,40.1,2.3,6409,1.9,AL,33254,3911,82044,74.29107603,7843,5784,13900,0.564244604,0.416115108,0.117,0.037,0.15,0.136,0.56,1
1019,1,19,"Cherokee County, Alabama",12.5,8.3,6.9,5.2,1.5,5621,1.2,AL,26196,671,17824,73.99883376,8953,1547,10733,0.83415634,0.144134911,0.135,0.027,0.161,0.158,0.52,1
