"name","state","public","tier_name","sticker_price_2013","sat_avg_2013","par_median","k_median","mr_kq5_pq1","par_top1pc","scorecard_rej_rate_2013","mobility_above_average"
"Abilene Christian University","TX","Private","6 Selective
private",29450,1075,101000,40100,0.0143638355657458,0.0230490993708372,0.510599970817566,0
"Adams State University","CO","Public","5 Selective
public",8014,984,67200,34100,0.0188446808606386,0.00314671522937715,0.474000006914139,0
"Adelphi University","NY","Private","6 Selective
private",32340,1115,96300,50700,0.0325850732624531,0.0238632559776306,0.318599998950958,1
"Adrian College","MI","Private","6 Selective
private",32660,990,88500,40300,0.00956462882459164,0.0115043828263879,0.437200009822845,0
"Agnes Scott College","GA","Private","4 H. Sel.
Private",35982,NA,97200,38900,0.014744158834219,0.0123816076666117,0.331299990415573,0
"Alabama Agricultural & Mechanical University","AL","Public","5 Selective
public",9096,843.5,44500,32900,0.0421930998563766,0.000179343565832824,0.101099997758865,1
"Albany State University","GA","Public","5 Selective
public",5192,880,43800,31900,0.025794941931963,0.000947230844758451,0.800800025463104,1
"Albertus Magnus College","CT","Private","6 Selective
private",28930,NA,68600,43400,0.0552047677338123,0.00358289107680321,0.317900002002716,1
"Albion College","MI","Private","6 Selective
private",37300,1130,120700,48900,0.00681318482384086,0.0292752180248499,0.436100006103516,0
"Albright College","PA","Private","6 Selective
private",38220,NA,89000,47300,0.0137057965621352,0.0132679250091314,0.376899987459183,0
"Alderson Broaddus University","WV","Private","6 Selective
private",22740,960,59500,37800,0.0273657646030188,0.000308737857267261,0.567900002002716,1
"Alfred University","NY","Private","6 Selective
private",26106,1055,90800,44600,0.0147709334269166,0.0189957153052092,0.301999986171722,0
"Allegheny College","PA","Private","6 Selective
private",40660,1160,102800,52500,0.0134344547986984,0.0264837220311165,0.351300001144409,0
"Alma College","MI","Private","6 Selective
private",34585,1023,98200,48000,0.0116591053083539,0.0166178364306688,0.320899993181229,0
"Alvernia University","PA","Private","6 Selective
private",30080,970,84300,41800,0.0218522157520056,0.00825802329927683,0.223800003528595,1
"Alverno College","WI","Private","6 Selective
private",24434,NA,65600,33200,0.0266078189015388,0.00512478314340115,0.211300000548363,1
"American International College","MA","Private","6 Selective
private",30940,880,68700,41900,0.026896370574832,0.00589693477377295,0.322100013494492,1
"American University ","DC","Private","4 H. Sel.
Private",41833,1245,135700,59100,0.0128442384302616,0.0878934487700462,0.56879997253418,0
"Amherst College","MA","Private","2 Other
elite",48526,1449,181300,69300,0.0196168310940266,0.16812452673912,0.857200026512146,1
"Anderson University of Anderson, IN","IN","Private","6 Selective
private",26850,1030,88400,34900,0.00713567435741425,0.0158789809793234,0.445499986410141,0
"Andrews University","MI","Private","6 Selective
private",26262,1075,73900,37200,0.024045730009675,0.0172320157289505,0.624899983406067,1
"Angelo State University","TX","Public","5 Selective
public",6702,965,68400,38500,0.0210949219763279,0.0039096288383007,0.195099994540215,1
"Anna Maria College","MA","Private","6 Selective
private",34060,NA,90400,40700,0.0169539600610733,0.0117727061733603,0.224399998784065,0
"Appalachian State University","NC","Public","5 Selective
public",6553,1150,105900,39100,0.00540048256516457,0.0221657548099756,0.367700010538101,0
"Aquinas College","MI","Private","6 Selective
private",27906,NA,94800,39300,0.00584009708836675,0.024719774723053,0.286500006914139,0
"Arcadia University","PA","Private","6 Selective
private",38160,1100,92200,44900,0.0193006340414286,0.0288339499384165,0.40310001373291,1
"Arizona State And Northern Arizona University And University Of Arizona","AZ","Public","5 Selective
public",9851.283203125,1129.41870117188,110700,46300,0.0157799385488033,0.0402082726359367,0.203485354781151,0
"Arkansas State University","AR","Public","5 Selective
public",7086.68603515625,980,60800,34500,0.0235712174326181,0.00395032437518239,0.2449000030756,1
"Arkansas Tech University","AR","Public","5 Selective
public",5862,1030,63200,35100,0.0211717542260885,0.00411110417917371,0.149700000882149,1
"Armstrong Atlantic State University","GA","Public","5 Selective
public",5266,1005,76000,34600,0.0182308834046125,0.00479608681052923,0.30019998550415,0
"Asbury College","KY","Private","6 Selective
private",26868,1109.5,91700,33800,0.00786222610622644,0.0160137992352247,0.342700004577637,0
"Ashland University","OH","Private","6 Selective
private",19852,1030,84600,39200,0.00563787575811148,0.0115857757627964,0.256199985742569,0
"Assumption College","MA","Private","6 Selective
private",36160,NA,120100,57500,0.00888160895556211,0.0204195976257324,0.25780001282692,0
"Auburn University","AL","Public","5 Selective
public",10200,1162.5,123200,47300,0.0106582380831242,0.0485339239239693,0.172600001096725,0
"Auburn University Montgomery","AL","Public","5 Selective
public",9080,994.5,73600,35400,0.024405175819993,0.00411979109048843,0.162900000810623,1
"Augsburg College","MN","Private","6 Selective
private",34431,1152.5,99100,49000,0.0129309073090553,0.041573129594326,0.391400009393692,0
"Augustana College of Rock Island, IL","IL","Private","4 H. Sel.
Private",37236,NA,114300,53700,0.00999858509749174,0.0257800277322531,0.413300007581711,0
"Augustana College of Sioux Falls, SD","SD","Private","6 Selective
private",29214,1120,93200,44200,0.00444480450823903,0.0223306529223919,0.319099992513657,0
"Aurora University","IL","Private","6 Selective
private",21320,1005,87100,43500,0.0110490201041102,0.0103535652160645,0.240500003099442,0
"Austin College","TX","Private","4 H. Sel.
Private",34840,1195,109300,49700,0.0227870158851147,0.0332682244479656,0.41389998793602,1
