age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian
40	1	3	2	0	1	0	0	-1	0	0	1	1
47	1	4	3	0	0	1	0	0	0	1	0	1
23	1	1	1	1	0	0	0	0	0	1	0	0
39	1	3	2	0	1	0	0	-1	0	0	1	0
62	1	5	3	0	0	1	0	-1	0	0	1	0
65	0	5	3	0	0	1	0	1	1	0	0	1
50	1	4	3	0	0	1	0	-1	0	0	1	0
59	1	5	3	0	0	1	0	0	0	1	0	0
21	1	1	1	1	0	0	0	0	0	1	0	0
88	0	6	4	0	0	0	1	-1	0	0	1	1
32	1	2	2	0	1	0	0	-1	0	0	1	0
40	0	3	2	0	1	0	0	1	1	0	0	0
36	0	3	2	0	1	0	0	0	0	1	0	0
23	1	1	1	1	0	0	0	-1	0	0	1	0
23	0	1	1	1	0	0	0	0	0	1	0	0
45	0	3	2	0	1	0	0	-1	0	0	1	1
47	1	4	3	0	0	1	0	1	1	0	0	0
65	0	5	3	0	0	1	0	-1	0	0	1	1
34	1	2	2	0	1	0	0	-1	0	0	1	0
26	1	2	2	0	1	0	0	-1	0	0	1	0
62	0	5	3	0	0	1	0	1	1	0	0	0
29	1	2	2	0	1	0	0	0	0	1	0	0
70	1	6	4	0	0	0	1	-1	0	0	1	1
28	1	2	2	0	1	0	0	0	0	1	0	1
29	1	2	2	0	1	0	0	-1	0	0	1	1
29	1	2	2	0	1	0	0	-1	0	0	1	0
29	0	2	2	0	1	0	0	-1	0	0	1	1
32	1	2	2	0	1	0	0	-1	0	0	1	0
35	0	2	2	0	1	0	0	1	1	0	0	1
58	0	5	3	0	0	1	0	1	1	0	0	1
59	1	5	3	0	0	1	0	-1	0	0	1	0
75	0	6	4	0	0	0	1	1	1	0	0	1
58	0	5	3	0	0	1	0	-1	0	0	1	0
43	1	3	2	0	1	0	0	-1	0	0	1	0
46	0	4	3	0	0	1	0	1	1	0	0	1
61	0	5	3	0	0	1	0	-1	0	0	1	1
28	1	2	2	0	1	0	0	0	0	1	0	0
64	0	5	3	0	0	1	0	1	1	0	0	0
61	0	5	3	0	0	1	0	1	1	0	0	0
57	1	5	3	0	0	1	0	-1	0	0	1	0
80	1	6	4	0	0	0	1	-1	0	0	1	0
69	1	6	4	0	0	0	1	1	1	0	0	1
86	1	6	4	0	0	0	1	-1	0	0	1	0
64	1	5	3	0	0	1	0	0	0	1	0	0
81	0	6	4	0	0	0	1	1	1	0	0	0
25	1	1	1	1	0	0	0	0	0	1	0	0
80	1	6	4	0	0	0	1	1	1	0	0	1
20	1	1	1	1	0	0	0	-1	0	0	1	1
30	0	2	2	0	1	0	0	0	0	1	0	1
60	1	5	3	0	0	1	0	1	1	0	0	0
42	1	3	2	0	1	0	0	-1	0	0	1	0
71	0	6	4	0	0	0	1	-1	0	0	1	1
40	0	3	2	0	1	0	0	1	1	0	0	1
73	0	6	4	0	0	0	1	1	1	0	0	0
68	0	6	4	0	0	0	1	-1	0	0	1	0
24	1	1	1	1	0	0	0	0	0	1	0	0
77	1	6	4	0	0	0	1	-1	0	0	1	0
60	0	5	3	0	0	1	0	1	1	0	0	1
62	0	5	3	0	0	1	0	-1	0	0	1	1
40	0	3	2	0	1	0	0	-1	0	0	1	0
29	1	2	2	0	1	0	0	1	1	0	0	0
53	1	4	3	0	0	1	0	1	1	0	0	0
58	1	5	3	0	0	1	0	-1	0	0	1	0
60	0	5	3	0	0	1	0	-1	0	0	1	0
72	0	6	4	0	0	0	1	1	1	0	0	0
34	0	2	2	0	1	0	0	1	1	0	0	1
46	1	4	3	0	0	1	0	-1	0	0	1	0
49	1	4	3	0	0	1	0	0	0	1	0	0
31	0	2	2	0	1	0	0	-1	0	0	1	1
61	0	5	3	0	0	1	0	1	1	0	0	0
21	1	1	1	1	0	0	0	-1	0	0	1	1
66	1	6	4	0	0	0	1	-1	0	0	1	0
35	1	2	2	0	1	0	0	-1	0	0	1	0
76	0	6	4	0	0	0	1	-1	0	0	1	1
46	1	4	3	0	0	1	0	1	1	0	0	0
75	0	6	4	0	0	0	1	1	1	0	0	0
46	1	4	3	0	0	1	0	0	0	1	0	0
81	0	6	4	0	0	0	1	1	1	0	0	1
21	1	1	1	1	0	0	0	1	1	0	0	1
47	0	4	3	0	0	1	0	-1	0	0	1	0
61	0	5	3	0	0	1	0	1	1	0	0	1
48	0	4	3	0	0	1	0	1	1	0	0	1
31	0	2	2	0	1	0	0	0	0	1	0	0
30	1	2	2	0	1	0	0	-1	0	0	1	0
80	0	6	4	0	0	0	1	1	1	0	0	0
20	1	1	1	1	0	0	0	-1	0	0	1	0
43	1	3	2	0	1	0	0	-1	0	0	1	0
47	1	4	3	0	0	1	0	0	0	1	0	1
48	0	4	3	0	0	1	0	0	0	1	0	0
69	1	6	4	0	0	0	1	1	1	0	0	0
60	0	5	3	0	0	1	0	1	1	0	0	1
46	0	4	3	0	0	1	0	-1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
37	1	3	2	0	1	0	0	-1	0	0	1	0
30	1	2	2	0	1	0	0	0	0	1	0	0
70	0	6	4	0	0	0	1	1	1	0	0	1
51	1	4	3	0	0	1	0	-1	0	0	1	0
48	1	4	3	0	0	1	0	-1	0	0	1	0
56	0	5	3	0	0	1	0	-1	0	0	1	1
48	0	4	3	0	0	1	0	0	0	1	0	0
62	1	5	3	0	0	1	0	-1	0	0	1	0
66	1	6	4	0	0	0	1	1	1	0	0	0
73	1	6	4	0	0	0	1	-1	0	0	1	1
48	0	4	3	0	0	1	0	1	1	0	0	1
63	1	5	3	0	0	1	0	-1	0	0	1	0
55	0	4	3	0	0	1	0	1	1	0	0	1
24	1	1	1	1	0	0	0	0	0	1	0	0
44	1	3	2	0	1	0	0	1	1	0	0	0
75	1	6	4	0	0	0	1	-1	0	0	1	0
28	1	2	2	0	1	0	0	0	0	1	0	0
54	0	4	3	0	0	1	0	-1	0	0	1	1
46	1	4	3	0	0	1	0	-1	0	0	1	0
62	1	5	3	0	0	1	0	0	0	1	0	0
59	0	5	3	0	0	1	0	0	0	1	0	1
29	1	2	2	0	1	0	0	-1	0	0	1	0
39	1	3	2	0	1	0	0	-1	0	0	1	0
25	1	1	1	1	0	0	0	-1	0	0	1	0
82	1	6	4	0	0	0	1	-1	0	0	1	0
43	1	3	2	0	1	0	0	-1	0	0	1	0
81	1	6	4	0	0	0	1	-1	0	0	1	0
80	1	6	4	0	0	0	1	-1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
69	1	6	4	0	0	0	1	-1	0	0	1	0
82	1	6	4	0	0	0	1	1	1	0	0	0
69	0	6	4	0	0	0	1	1	1	0	0	1
74	1	6	4	0	0	0	1	0	0	1	0	0
56	1	5	3	0	0	1	0	1	1	0	0	0
67	1	6	4	0	0	0	1	1	1	0	0	0
77	0	6	4	0	0	0	1	1	1	0	0	1
60	0	5	3	0	0	1	0	1	1	0	0	0
45	1	3	2	0	1	0	0	1	1	0	0	0
58	1	5	3	0	0	1	0	-1	0	0	1	0
50	1	4	3	0	0	1	0	-1	0	0	1	0
61	1	5	3	0	0	1	0	0	0	1	0	0
71	0	6	4	0	0	0	1	-1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
68	0	6	4	0	0	0	1	1	1	0	0	1
67	0	6	4	0	0	0	1	1	1	0	0	1
53	1	4	3	0	0	1	0	0	0	1	0	0
59	0	5	3	0	0	1	0	1	1	0	0	1
62	1	5	3	0	0	1	0	-1	0	0	1	0
49	0	4	3	0	0	1	0	0	0	1	0	0
64	0	5	3	0	0	1	0	-1	0	0	1	1
52	1	4	3	0	0	1	0	-1	0	0	1	1
28	0	2	2	0	1	0	0	-1	0	0	1	0
79	0	6	4	0	0	0	1	-1	0	0	1	0
33	1	2	2	0	1	0	0	-1	0	0	1	0
47	1	4	3	0	0	1	0	-1	0	0	1	0
45	0	3	2	0	1	0	0	0	0	1	0	0
64	1	5	3	0	0	1	0	0	0	1	0	0
49	1	4	3	0	0	1	0	1	1	0	0	1
43	0	3	2	0	1	0	0	0	0	1	0	0
29	1	2	2	0	1	0	0	-1	0	0	1	0
45	0	3	2	0	1	0	0	1	1	0	0	0
64	0	5	3	0	0	1	0	1	1	0	0	1
24	1	1	1	1	0	0	0	0	0	1	0	0
27	0	2	2	0	1	0	0	-1	0	0	1	0
23	1	1	1	1	0	0	0	-1	0	0	1	0
20	0	1	1	1	0	0	0	-1	0	0	1	1
57	1	5	3	0	0	1	0	-1	0	0	1	0
50	0	4	3	0	0	1	0	1	1	0	0	0
21	1	1	1	1	0	0	0	-1	0	0	1	0
68	0	6	4	0	0	0	1	0	0	1	0	0
73	0	6	4	0	0	0	1	1	1	0	0	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
83	0	6	4	0	0	0	1	0	0	1	0	1
46	1	4	3	0	0	1	0	1	1	0	0	0
64	1	5	3	0	0	1	0	-1	0	0	1	1
90	1	6	4	0	0	0	1	-1	0	0	1	0
